Layer,Name,GEOID,Longitude,Latitude,HCSDIAP_2016-2018,VRDIAR_2015-2019,VRDIBR_2015-2019,VRCAR_2015-2019,VRADR_2015-2019,HCSHYTP_2016-2018,HCSOBP_2016-2018,VRCHDR_2015-2019,HCSPAP_2016-2018,HCSSP_2016-2018,HCSRCP_2016-2018,HCSSMKP_2016-2018,HCSBDP_2016-2018,HCSFVP_2016-2018,HCSFVAP_2016-2018,LFA_2019,PMC_2020,UNS_2015-2019,HDX_2015-2019,VRLE_2019,HCSNCP_2016-2018,VRBWP_2013-2017,HCSOHSP_2016-2018,INC_2015-2019,POV_2015-2019,SNP_2015-2019,TNF_2015-2019,EDB_2015-2019,EDE_2015-2019,PCT-F_2015-2019,PCT-W_2015-2019,PCT-B_2015-2019,PCT-A_2015-2019,PCT-H_2015-2019,POP_2015-2019,POP-I_2015-2019,POP-J_2015-2019,POP-Y_2015-2019,POP-O_2015-2019,POP-S_2015-2019
Community area,Bridgeport,60,-87.648784,41.836151,9.8,15.7,44,164.9,16.5,32.7,21.3,92,23.4,24.7,74.5,14.4,24.9,31.1,76.9,35.08111136,9.46550036,8.808130102,60.31786155,80.3469067,85.7,7.7,75.9,62299.58582,14.67960241,14.64917057,4.301287818,81.37636589,34.62437673,50.77900727,34.53784978,3.011809964,37.60558292,23.43356409,34483.9015,1658.612328,4709.221615,12150.88787,11417.18932,4547.990372
Community area,New City,61,-87.659171,41.809017,14.5,38,70.8,202.9,11.5,23.1,38.9,105.9,32,42.3,71,20.9,19.9,21.4,53.6,21.37477489,9.504886832,14.53904492,84.03596372,73.70597857,78.2,9,67.6,47877.36159,24.82532523,31.96338158,4.759739983,73.65849418,12.6618284,49.83806458,21.95846776,24.25406307,3.446170859,49.49583555,39458.48823,3203.028833,7412.082198,13063.68574,11007.89077,4771.800684
Community area,West Elsdon,62,-87.724213,41.792977,,21.3,57.4,156.7,21.3,23.3,41.6,90.2,25.4,29,70.9,19.4,37.7,21.2,77.1,23.49352257,9.632298626,10.44972384,79.7350362,83.07787221,82.4,6.9,82.9,65600.53617,9.031988493,16.18882468,4.404272779,71.12343632,13.65093125,51.05414933,15.06200973,1.370315734,3.102480422,80.34993055,18992.53725,1325.076872,3911.127262,6451.657384,5368.550315,1936.125414
Community area,Gage Park,63,-87.696433,41.795429,9.4,25.4,52.2,157.8,23,17.6,36.3,69.8,33.8,24.4,72.9,12.4,28.8,22.3,70.9,20.87080771,9.583076654,15.0393316,89.23122778,79.47203619,82.9,7.3,70.9,45761.74432,18.19114849,31.61672714,4.142675179,68.63666645,7.044193819,50.24275934,3.996822499,5.797722321,0.876322876,89.17826544,37204.52763,3223.248504,8073.819163,12645.00289,9823.703085,3438.753986
Community area,Clearing,64,-87.768517,41.779582,12.1,17.6,58.8,207,24.3,28.7,31.2,127.2,28.3,38.8,73.6,30.8,38.5,13.2,74.3,49.14776097,9.705791455,9.018169874,58.46205003,77.99741906,93.2,6.4,78,64654.75346,8.766306366,12.46844478,4.713111728,85.14941764,18.60434131,51.19033523,43.27034763,2.511612156,0.39791791,51.93862192,25018.2294,1768.544814,4562.363329,7771.784647,7840.917419,3074.619192
Community area,West Lawn,65,-87.726927,41.769774,13,21.9,57.9,177.7,26.3,17.7,28.9,103.3,34.1,34.4,87.9,15.2,27.8,25.3,69.4,33.47657326,9.647724203,10.57845465,79.6748823,78.90552138,80.1,7.2,74.2,63014.89596,12.66707748,15.20254941,3.082317686,74.0905265,12.61324597,48.04779569,14.08596606,4.806651501,0.453285058,80.12566441,31799.90351,2225.992045,6851.741047,10126.09898,9278.183909,3317.88753
Community area,Chicago Lawn,66,-87.695667,41.771849,16.8,28.7,74.6,203.3,17.8,27.7,40.5,97.3,36.7,38.7,78.7,21.9,27.6,25.7,53.9,27.0809917,9.588683925,13.94823269,91.76432954,73.52538107,72.1,10.8,74.1,39008.7455,24.24727808,34.96133897,5.860047107,76.98877959,7.995322783,54.11846311,2.833029056,52.37492214,0.513763593,41.77819318,51182.39342,4328.850374,9876.330555,16730.08339,13934.16789,6312.961213
Community area,West Englewood,67,-87.666598,41.775926,12.1,30.9,66.5,243.9,16.2,41.4,51,119,35.5,36.3,87.4,33.8,19.6,18.3,60.9,63.50066022,9.530789867,8.115023858,95.34367954,71.84962002,79.4,15.2,74.5,29425.74811,33.27760618,44.98391784,9.052965299,77.89336843,8.947627333,53.61294324,1.522840817,86.63084439,0.084954744,10.43494644,26567.53568,1774.056074,4401.825226,7060.979611,7991.577956,5339.096814
Community area,Englewood,68,-87.642502,41.777201,12.4,30.9,78.6,210.3,15.2,37,34.3,106,28.1,39.1,90.7,28.1,20.2,24.3,54.5,22.2534617,9.480166496,12.30064155,94.97714468,71.06905129,63.7,16.9,73.5,25565.98286,40.10256256,45.53019228,8.396569086,76.44494376,8.892935211,52.57091465,0.631073156,94.203626,0.267400091,4.310272491,22874.51699,2055.198018,4090.102928,6492.421054,6953.524629,3283.270364
Community area,Greater Grand Crossing,69,-87.616139,41.763251,12,42.3,81.2,219,31.2,41.3,47.1,109.1,30.5,27.6,77.2,28.5,14.3,26.6,56.8,10.55558629,9.430747893,7.064596858,89.42094711,71.65032913,74.8,15.6,74.3,31107.07274,35.86726727,44.0301799,7.222560059,85.6394639,16.54711069,55.78884619,0.946785562,95.74329851,0.106527176,1.938311568,30215.36337,1797.11152,5398.939879,9290.84176,9380.444082,4348.026133
Community area,Lincoln Park,7,-87.649491,41.922696,7.5,17.3,38,156.7,34.2,21,19.1,72.2,11.6,15.5,69.2,9.2,33.8,38.8,87.4,4.682803592,9.251539418,2.515177542,1.611113233,80.68905687,92.4,6.6,89.5,133791.665,9.14617441,4.745551907,0.791685643,97.57697624,83.77344037,49.31168139,78.85914754,5.002968819,6.808082803,6.281940188,62535.37409,3349.579412,5789.044208,33659.70267,13930.1461,5806.901713
Community area,Ashburn,70,-87.708363,41.745756,7.2,25.5,67.6,221.4,38.3,27.9,31.6,105.5,36.7,30.4,82.1,15.3,21.4,21.3,75.1,68.21325813,9.602943241,9.414188134,71.31324094,76.14440596,79.4,9.2,84.1,77056.23412,13.11170956,13.79398968,3.950941626,83.1474254,20.90844335,52.5717974,8.081197813,51.36482107,0.759756912,37.45460609,43537.90972,2750.181687,8640.16213,12360.91071,14672.9485,5113.70669
